round 1,F1,10400
,F2,9600
round 2,F1,9930
,F2,10070
round 3,F1,10550
,F2,9450
round 4,F1,10170
,F2,9830
round 5,F1,10170
,F2,9830
round 6,F1,9670
,F2,10330
round 7,F1,9930
,F2,10070
round 8,F1,9540
,F2,10460
round 9,F1,9970
,F2,10030
round 10,F1,9460
,F2,10540
